zip,dollars,timestamp,date,city,state,latitude,longitude
02474,100,"",2014-05-01,Arlington,MA,42.4202,-71.1565
97224,100,"",2014-05-01,Portland,OR,45.4094,-122.8014
94061,100,"",2014-05-01,Redwood City,CA,37.4647,-122.2304
60040,50,"",2014-05-01,Highwood,IL,42.2035,-87.8141
32168,50,"",2014-05-01,New Smyrna beach,FL,29.0247,-80.9584
98227,50,"",2014-05-01,Bellingham,WA,48.8148,-121.9885
34104,1,"",2014-05-01,Naples,FL,26.1529,-81.7417
90012,1000,"",2014-05-01,Los Angeles,CA,34.0614,-118.2385
03768,15,"",2014-05-01,Lyme,NH,43.7913,-72.162
92867,100,"",2014-05-01,Orange,CA,33.811,-117.8493
97321,50,"",2014-05-01,Albany,OR,44.652,-123.1333
94110,100,"",2014-05-01,San Francisco,CA,37.7509,-122.4153
08831,20,"",2014-05-01,Monroe Twp,NJ,40.3425,-74.4336
11237,150,"",2014-05-01,Brooklyn,NY,40.7006,-73.918
78704,100,"",2014-05-01,austin,TX,30.2428,-97.7658
78411,10,"",2014-05-01,Corpus Christi,TX,27.7311,-97.3877
10011,55,"",2014-05-01,NYC,NY,40.7402,-73.9996
27101,100,"",2014-05-01,Winston-Salem,NC,36.1024,-80.2228
07039,100,"",2014-05-01,Livingston,DC,40.7896,-74.3202
94127,100,"",2014-05-01,San Francisco,CA,37.7354,-122.4571
47403,5,"",2014-05-01,Bloomington,IN,39.1263,-86.5769
21286,100,"",2014-05-01,Towson,MD,39.4143,-76.5761
34239,20,"",2014-05-01,Sarasota,FL,27.3111,-82.5195
94501,20,"",2014-05-01,Alameda,CA,37.7706,-122.2648
80206,25,"",2014-05-01,Denver,CO,39.7331,-104.9524
07670,100,"",2014-05-01,Tenafly,NJ,40.9216,-73.9659
80127,200,"",2014-05-01,Littleton,CO,39.592,-105.1328
32806,100,"",2014-05-01,Orlando,FL,28.514,-81.357
53713,55,"",2014-05-01,Madison,WI,43.0372,-89.3971
11103,50,"",2014-05-01,Astoria,NY,40.7627,-73.9149
46350,25,"",2014-05-01,LA PORTE,IN,41.5994,-86.7077
15217,100,"",2014-05-01,Pittsburgh,PA,40.4308,-79.9205
98402,100,"",2014-05-01,Tacoma,WA,47.2545,-122.4405
54115,50,"",2014-05-01,De Pere,WI,44.4388,-88.0806
60640,250,"",2014-05-01,Chicago,IL,41.9719,-87.6624
55331,50,"",2014-05-01,Shorewood,MN,44.9007,-93.5791
98070,10,"",2014-05-01,Vashon,WA,47.4259,-122.4644
97013,100,"",2014-05-01,Canby,OR,45.2514,-122.6832
94610,50,"",2014-05-01,Oakland,CA,37.8126,-122.2443
02056,500,"",2014-05-01,Norfolk,MA,42.1177,-71.3269
27601,100,"",2014-05-01,Raleigh,NC,35.7727,-78.6324
08817,1,"",2014-05-01,Edison,NJ,40.5171,-74.3973
90024,50,"",2014-05-01,Los Angeles,CA,34.0637,-118.4408
02130,25,"",2014-05-01,Jamaica Plain,MA,42.3126,-71.1115
95403,50,"",2014-05-01,Santa Rosa,CA,38.4822,-122.7473
53593,200,"",2014-05-01,Verona,WI,42.9999,-89.5522
55414,10,"",2014-05-01,Minneapolis,MN,44.9779,-93.2199
29609,20,"",2014-05-01,Greenville,SC,34.8921,-82.4002
02144,25,"",2014-05-01,Somerville,MA,42.4003,-71.1221
78751,500,"",2014-05-01,Austin,TX,30.3093,-97.7242
02118,50,"",2014-05-01,Boston,MA,42.3362,-71.0729
97219,20,"",2014-05-01,Portland,OR,45.458,-122.7074
60025,10,"",2014-05-01,Glenview,IL,42.0758,-87.8223
91601,20,"",2014-05-01,North Hollywood,CA,34.1687,-118.3713
03101,100,"",2014-05-01,Manchester,NH,42.9929,-71.4633
14626,5,"",2014-05-01,Rochester,NY,43.2126,-77.704
94122,60,"",2014-05-01,San Francisco,CA,37.7593,-122.4836
63074,21,"",2014-05-01,Saint Ann,MO,38.7259,-90.3864
02446,25,"",2014-05-01,Brookline,MA,42.3431,-71.123
90291,200,"",2014-05-01,Venice,CA,33.9938,-118.4635
94402,50,"",2014-05-01,SAN MATEO,CA,37.5507,-122.3276
02144,25,"",2014-05-01,Somerville,MA,42.4003,-71.1221
01741,200,"",2014-05-01,Carlisle,MA,42.5286,-71.3519
58103,10,"",2014-05-01,FARGO,ND,46.8564,-96.8123
94506,100,"",2014-05-01,Danville,CA,37.8321,-121.9167
55112,100,"",2014-05-01,Mounds View,MN,45.0788,-93.1872
78633,25,"",2014-05-01,Georgetown,DC,30.7177,-97.7543
94703,100,"",2014-05-01,Berkeley,CA,37.863,-122.2749
77025,20,"",2014-05-01,Houston,TX,29.6889,-95.4341
94607,100,"",2014-05-01,Oakland,CA,37.8071,-122.2851
07083,25,"",2014-05-01,Union,NJ,40.6952,-74.2677
80226,20,"",2014-05-01,Lakewood,CO,39.7123,-105.0918
30080,25,"",2014-05-01,Smyrna,GA,33.8796,-84.5023
02878,200,"",2014-05-01,Tiverton,RI,41.6338,-71.1808
78745,25,"",2014-05-01,Austin,TX,30.2063,-97.7956
19805,100,"",2014-05-01,Elsmere,DE,39.7434,-75.5827
95006,50,"",2014-05-01,Boulder Creek,CA,37.1547,-122.1365
10708,21,"",2014-05-01,"Yonkers,NY",NY,40.9391,-73.8353
80222,50,"",2014-05-01,DENVER,CO,39.671,-104.9279
60201,100,"",2014-05-01,IL,IL,42.0546,-87.6943
01301,25,"",2014-05-01,Greenfield,MA,42.6013,-72.6236
20906,10,"",2014-05-01,Silver Spring,MD,39.084,-77.0613
95062,100,"",2014-05-01,Santa Cruz,CA,36.9721,-121.9881
21045,25,"",2014-05-01,Columbia,MD,39.2051,-76.8322
98122,100,"",2014-05-01,Seattle,WA,47.6116,-122.3056
60442,25,"",2014-05-01,Manhattan,IL,41.4289,-87.9771
"",200,"",2014-05-01,London,0,,
60613,100,"",2014-05-01,Chicago,IL,41.9543,-87.6575
02130,50,"",2014-05-01,Boston,MA,42.3126,-71.1115
55419,500,"",2014-05-01,Minneapolis,MN,44.9026,-93.2886
66216,150,"",2014-05-01,Lenexa,KS,39.0147,-94.7414
11211,200,"",2014-05-01,Brooklyn,NY,40.7095,-73.9563
13757,50,"",2014-05-01,East Meredith,NY,42.4101,-74.8987
30075,10,"",2014-05-01,Roswell,GA,34.0408,-84.3859
91356,4,"",2014-05-01,Tarzana,CA,34.1671,-118.5414
98110,50,"",2014-05-01,Bainbridge Island,WA,47.6478,-122.538
76016,25,"",2014-05-01,Arlington,TX,32.6889,-97.1905
38834,25,"",2014-05-01,Corinth,MS,34.8759,-88.5916
85614,100,"",2014-05-01,Green Valley,AZ,31.8543,-111.0003
02138,50,"",2014-05-01,Cambridge,MA,42.377,-71.1256
92840,20,"",2014-05-01,Garden Grove,CA,33.7869,-117.9273
30318,100,"",2014-05-01,Atlanta,GA,33.7865,-84.4454
98133,100,"",2014-05-01,SEATTLE,WA,47.7377,-122.3431
02649,100,"",2014-05-01,Mashpee,MA,41.6181,-70.4854
14620,25,"",2014-05-01,Rochester,NY,43.1317,-77.6062
39211,100,"",2014-05-01,Jackson,MS,32.3739,-90.1293
11218,50,"",2014-05-01,Brooklyn,NY,40.6424,-73.9758
07302,25,"",2014-05-01,Jersey City,NJ,40.7221,-74.0469
95119,100,"",2014-05-01,San Jose,CA,37.2329,-121.7875
